VBO:ID (start after the species ID)	label with species name	Parent ID	source for parents	source for parents	db-xref	Defintion	Source	Source	Equivalent	Equivalent	Comment	Synonym	Synonym Source
ID	LABEL	SC %	>A oboInOwl:source SPLIT=|	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	A oboInOwl:hasDbXref	A IAO:0000115	>A oboInOwl:source SPLIT=|	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	EC 'Vertebrate breed' and %	EC %	A rdfs:comment	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|
VBO:0400000	Vertebrate breed	NCBITaxon:7742	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153			A group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two. 		https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/			Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400032	South American camelid breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153			Vertebrate breeds covering Llama, Guanaco, Vicuña and Alpaca breeds. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153|PMID:33724183			('Llama breed' or 'Guanaco breed' or 'Vicuña breed' or 'Alpaca breed')	Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/	New World camelid	https://www.merckvetmanual.com/exotic-and-laboratory-animals/llamas-and-alpacas/overview-of-llamas-and-alpacas
VBO:0001098	Llama breed	VBO:0400032	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Lama glama. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9844		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0000882	Guanaco breed	VBO:0400032	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Lama guanicoe. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9840		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0001721	Vicuña breed	VBO:0400032	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Vicugna vicugna. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9843		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0000038	Alpaca breed	VBO:0400032	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Vicugna pacos. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:30538		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400033	Equid breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153			Vertebrate breed of the taxon Equidae. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9788		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400005	Ass breed	VBO:0400033	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Equus asinus. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9793		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0000931	Horse breed	VBO:0400033	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is	LBO:0000713	Vertebrate breed of the taxon Equus caballus. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9796		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400006	Bird breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153			Vertebrate breed of the taxon Aves. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:8782		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0000087	Cassowary breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Casuarius casuarius. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:8787		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0000715	Emu breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Dromaius novaehollandiae. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:8790		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0001100	Nandu breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Rhea. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:8796		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400014	Ostrich breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Struthio camelus. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:8801		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400010	Chicken breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is	LBO:0000002	Vertebrate breed of the taxon Gallus gallus. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9031		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400008	Duck breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breeds covering the taxa Anas platyrhynchos, Anas platyrhynchos x Cairina moschata and Cairina moschata. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		(NCBITaxon:8839 or NCBITaxon:8841 or NCBITaxon:8855)		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400011	Goose breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Anser anser. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:8843		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400012	Guinea fowl breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Numididae. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:8990		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400015	Pigeon breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Columba livia. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:8932		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400037	Pheasant breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Phasianinae. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9072		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400038	Partridge breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Perdicinae. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:466544		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0001223	Quail breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Coturnix. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9090		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400017	Turkey breed	VBO:0400006	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Meleagris gallopavo. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9103		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400018	Cat breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153			Vertebrate breed of the taxon Felis catus. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9685		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400019	Bovine breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153			Vertebrate breed of the taxon Bovinae. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:27592		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400020	Cattle breed	VBO:0400019	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	LBO:0000001	Vertebrate breed of the taxon Bos. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9903		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0000041	American bison breed	VBO:0400019	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Bison bison. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9901		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0000068	Buffalo breed	VBO:0400019	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is	LBO:0001042	Vertebrate breed of the taxon Bubalus bubalis. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:89462		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400022	Camel breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153			Vertebrate breed of the taxon Camelus. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9836		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400023	Deer breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Cervinae. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:34878		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400024	Dog breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Canis lupus familiaris. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9615		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400025	Goat breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is	LBO:0000954	Vertebrate breed of the taxon Capra hircus. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9925		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400026	Guinea pig breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Cavia porcellus. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:10141		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0001199	Pig breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is	LBO:0000003	Vertebrate breed of the taxon Sus scrofa. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9823		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400029	Rabbit breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is		Vertebrate breed of the taxon Oryctolagus cuniculus. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9986		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		
VBO:0400030	Sheep breed	VBO:0400000	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	https://www.fao.org/dad-is	LBO:0000004	Vertebrate breed of the taxon Ovis aries. A vertebrate breed is a group of vertebrate animals that share specific characteristics (such as traits, behavior, genetics) that distinguish it from other organisms of the same species, and/or for which cultural or geographical separation has led to the general acceptance of its separate identity. Breeds are formed through genetic isolation and either natural adaptation to the environment or selective breeding, or a combination of the two.	https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153		NCBITaxon:9940		Breeds included in VBO have been characterized, defined, and determined by international breed organizations, communities, experts, and/or have been reported in the literature. https://monarch-initiative.github.io/vertebrate-breed-ontology/general/general/		