vbo_id	term_label	to_be_ignored	breed_name_to_be_used_for_label	species_to_be_used_for_label	internal_term_merge_indicator_vboid_into_vboid	internal_date_and_issue_separated_by_pipe_yymmdd_dash_issue	gh_issue_NOT_merge_obsolete	parent_ID	source_for_parents	source_for_parents	parent_ID	source_for_parents	source_for_parents	parent_ID	source_for_parents	source_for_parents	most_common_name	synonym_type_most_common_name	source_for_most_common_name	source_for_most_common_name	synonym_dadis_name_not_used_in_label	source_for_synonym_dadis	source_for_synonym_dadis	synonym_1	source_for_synonym_1	source_for_synonym_1	synonym_2	source_for_synonym_2	source_for_synonym_2	synonym_3	source_for_synonym_3	source_for_synonym_3	synonym_4	source_for_synonym_4	source_for_synonym_4	synonym_5	source_for_synonym_5	source_for_synonym_5	synonym_label_from_merged_term	source_for_merged_term	Breed_code_1	all_source_for_breed_code_1_separated_by_pipe	all_source_for_breed_code_1_separated_by_pipe	Breed_code_2	all_source_for_breed_code_2_separated_by_pipe	all_source_for_breed_code_2_separated_by_pipe	definition 	definition_xref	definition_xref	xref1	source_for_xref1	source_for_xref1	xref2	source_for_xref2	source_for_xref2	omia_xref_internal	recognition_status_1	source_for_recognition_status_1	source_for_recognition_status_1	recognition_status_2	source_for_recognition_status_2	source_for_recognition_status_2	recognition_status_3	source_for_recognition_status_3	source_for_recognition_status_3	source_for_breed	source_for_breed	contributors	contributors	comment	general_comment	comment_from_obsoletion	description_of_origin	source_for_description_of_origin	source_for_description_of_origin	domestication_status	source_for_domestication_status	wikidata_link_for_the_country_exists_in_country_subclass	source_for_country_subclass	source_for_country_subclass	obsoletion_type	obsolete	replacement_term	replacement_label	comment	GH_issue	obsolescence_reason	curator_note	dadis_name	dadis_species_name	dadis_country	dadis_iso3_code	in_subset_transboundary
ID	LABEL						AT IAO:0000233^^xsd:anyURI SPLIT=|	SC %	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	SC %	>AT oboInOwl:source^^xsd:anyURI	>A oboInOwl:source SPLIT=|	SC %	>AT oboInOwl:source^^xsd:anyURI	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AI oboInOwl:hasSynonymType	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>A oboInOwl:source SPLIT=|	A http://purl.obolibrary.org/obo/vbo#breed_code	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A http://purl.obolibrary.org/obo/vbo#breed_code	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A IAO:0000115	>AT oboInOwl:hasDbXref^^xsd:anyURI SPLIT=|	>A oboInOwl:hasDbXref SPLIT=|	A oboInOwl:hasDbXref  SPLIT=|	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasDbXref  SPLIT=|	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|		AI http://purl.obolibrary.org/obo/vbo#breed_recognition_status	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	AI http://purl.obolibrary.org/obo/vbo#breed_recognition_status	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	AI http://purl.obolibrary.org/obo/vbo#breed_recognition_status	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	AT dc:source^^xsd:anyURI SPLIT=|	A dc:source SPLIT=|	AI dc:contributor SPLIT=|	AI dc:contributor SPLIT=|	A rdfs:comment			A http://purl.obolibrary.org/obo/vbo#origindescription	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	AI http://purl.obolibrary.org/obo/vbo#hasdomesticationstatus	>AT oboInOwl:source^^xsd:anyURI	SC 'breed reported in geographic location' value %	>AT oboInOwl:source^^xsd:anyURI	>A oboInOwl:source	TYPE	AT owl:deprecated^^xsd:boolean	AI IAO:0100001			AT IAO:0000233^^xsd:anyURI	A IAO:0000231						
VBO:0017485	Continental Chestnut Flanked White (Zebra finch)		Continental Chestnut Flanked White	Zebra finch		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:59729		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Continental Chestnut Flanked White	http://purl.obolibrary.org/obo/vbo#most_common_name	http://www.zebrafinch.com/NewZebra/chestnutflankwhite.html					CFW	http://www.zebrafinch.com/NewZebra/chestnutflankwhite.html		Marked White	http://www.zebrafinch.com/NewZebra/chestnutflankwhite.html																																						http://www.zebrafinch.com/NewZebra/chestnutflankwhite.html		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017486	Eppley colony (Golden hamster)		Eppley colony	Golden hamster		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:10036		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Eppley colony	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.pancreapedia.org/sites/default/files/pour_hamster.2012.pdf	PMID:994204				EC	https://www.pancreapedia.org/sites/default/files/pour_hamster.2012.pdf	PMID:994204																																								https://www.pancreapedia.org/sites/default/files/pour_hamster.2012.pdf	PMID:994204	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017487	Inbred GN (Golden hamster)		Inbred GN	Golden hamster		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:10036		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Inbred GN	http://purl.obolibrary.org/obo/vbo#most_common_name	https://link.springer.com/article/10.1023/B:BEGE.0000023651.99481.d5	PMID:6658511																																														https://link.springer.com/article/10.1023/B:BEGE.0000023651.99481.d5	PMID:6658511	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017488	Lak:LVG(SYR) (Golden hamster)		Lak:LVG(SYR)	Golden hamster		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:10036		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Lak:LVG(SYR)	http://purl.obolibrary.org/obo/vbo#most_common_name	http://netvet.wustl.edu/species/hamsters/hamstbio.txt|https://www.criver.com/products-services/find-model/lvg-golden-syrian-hamster?region=3611	PMID:7441100				Lak:LVG	http://netvet.wustl.edu/species/hamsters/hamstbio.txt|https://www.criver.com/products-services/find-model/lvg-golden-syrian-hamster?region=3611	PMID:7441100	LAK/LVG	http://netvet.wustl.edu/species/hamsters/hamstbio.txt|https://www.criver.com/products-services/find-model/lvg-golden-syrian-hamster?region=3611	PMID:7441100																																					http://netvet.wustl.edu/species/hamsters/hamstbio.txt|https://www.criver.com/products-services/find-model/lvg-golden-syrian-hamster?region=3611	PMID:7441100	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017489	LSH/SsLak (Golden hamster)		LSH/SsLak	Golden hamster		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:10036		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				LSH/SsLak	http://purl.obolibrary.org/obo/vbo#most_common_name	https://netvet.wustl.edu/species/hamsters/hamstbio.txt					LSH/SsLAK	https://netvet.wustl.edu/species/hamsters/hamstbio.txt																																									https://netvet.wustl.edu/species/hamsters/hamstbio.txt		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017490	Nigerian St.549 (Western clawed frog)		Nigerian St.549	Western clawed frog		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8364		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Nigerian St.549	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.mbl.edu/research/resources-research-facilities/national-xenopus-resource/wild-type-frog-stocks	PMID:26222540				Xtr.NigerianSt549	https://www.mbl.edu/research/resources-research-facilities/national-xenopus-resource/wild-type-frog-stocks	PMID:26222540																																								https://www.mbl.edu/research/resources-research-facilities/national-xenopus-resource/wild-type-frog-stocks	PMID:26222540	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017491	Arlee 12 (Rainbow trout)		Arlee 12	Rainbow trout		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8022		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Arlee 12	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.sciencedirect.com/science/article/abs/pii/0145305X9500029S|https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1577/1548-8667%281998%29010%3C0075%3ADOLTCL%3E2.0.CO%3B2																																															https://www.sciencedirect.com/science/article/abs/pii/0145305X9500029S|https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1577/1548-8667%281998%29010%3C0075%3ADOLTCL%3E2.0.CO%3B2		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017492	Hot Creek 71 (Rainbow trout)		Hot Creek 71	Rainbow trout		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8022		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Hot Creek 71	http://purl.obolibrary.org/obo/vbo#most_common_name	https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1577/1548-8667%281998%29010%3C0075%3ADOLTCL%3E2.0.CO%3B2																																															https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1577/1548-8667%281998%29010%3C0075%3ADOLTCL%3E2.0.CO%3B2		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017493	INRA Sy (Rainbow trout)		INRA Sy	Rainbow trout		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8022		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				INRA Sy	http://purl.obolibrary.org/obo/vbo#most_common_name		PMID:17085058				INRA-Sy		PMID:17085058																																									PMID:17085058	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017494	OSU 142 (Rainbow trout)		OSU 142	Rainbow trout		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8022		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				OSU 142	http://purl.obolibrary.org/obo/vbo#most_common_name	https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1577/1548-8667%281998%29010%3C0075%3ADOLTCL%3E2.0.CO%3B2|https://www.sciencedirect.com/science/article/abs/pii/S0145305X98000391					OSU-142	https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1577/1548-8667%281998%29010%3C0075%3ADOLTCL%3E2.0.CO%3B2|https://www.sciencedirect.com/science/article/abs/pii/S0145305X98000391																																									https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1577/1548-8667%281998%29010%3C0075%3ADOLTCL%3E2.0.CO%3B2|https://www.sciencedirect.com/science/article/abs/pii/S0145305X98000391		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017495	AB (Zebrafish)		AB	Zebrafish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:7955		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				AB	http://purl.obolibrary.org/obo/vbo#most_common_name		ZFIN:ZDB-GENO-960809-7																																															ZFIN:ZDB-GENO-960809-7	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017496	GloFish (Zebrafish)		GloFish	Zebrafish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:7955		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				GloFish	http://purl.obolibrary.org/obo/vbo#most_common_name	https://shop.glofish.com/collections/glofish-danio					GloFish Danio	https://shop.glofish.com/collections/glofish-danio																																									https://shop.glofish.com/collections/glofish-danio		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017497	SJD (Zebrafish)		SJD	Zebrafish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:7955		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				SJD	http://purl.obolibrary.org/obo/vbo#most_common_name		ZFIN:ZDB-GENO-990308-9																																															ZFIN:ZDB-GENO-990308-9	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017498	Comet (Goldfish)		Comet	Goldfish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:7957		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Comet	http://purl.obolibrary.org/obo/vbo#most_common_name	https://en.wikipedia.org/wiki/Comet_(goldfish)|https://www.thesprucepets.com/comet-goldfish-species-profile-5088723					Comet-tailed	https://en.wikipedia.org/wiki/Comet_(goldfish)|https://www.thesprucepets.com/comet-goldfish-species-profile-5088723																																									https://en.wikipedia.org/wiki/Comet_(goldfish)|https://www.thesprucepets.com/comet-goldfish-species-profile-5088723		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017499	Fantail (Goldfish)		Fantail	Goldfish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:7957		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Fantail	http://purl.obolibrary.org/obo/vbo#most_common_name	https://en.wikipedia.org/wiki/Fantail_(goldfish)|https://www.thesprucepets.com/fantail-goldfish-fish-5322821																																															https://en.wikipedia.org/wiki/Fantail_(goldfish)|https://www.thesprucepets.com/fantail-goldfish-fish-5322821		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017500	Ryukin (Goldfish)		Ryukin	Goldfish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:7957		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Ryukin	http://purl.obolibrary.org/obo/vbo#most_common_name	https://en.wikipedia.org/wiki/Ryukin																																															https://en.wikipedia.org/wiki/Ryukin		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017501	Wakin (Goldfish)		Wakin	Goldfish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:7957		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Wakin	http://purl.obolibrary.org/obo/vbo#most_common_name	https://en.wikipedia.org/wiki/Wakin_goldfish																																															https://en.wikipedia.org/wiki/Wakin_goldfish		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017502	Albino strain i3 (Japanese rice fish)		Albino strain i3	Japanese rice fish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8090		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Albino strain i3	http://purl.obolibrary.org/obo/vbo#most_common_name		PMID:9431801				i3		PMID:9431801																																									PMID:9431801	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017503	CAB (Japanese rice fish)		CAB	Japanese rice fish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8090		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				CAB	http://purl.obolibrary.org/obo/vbo#most_common_name		PMID:27759163|PMID:16341864				Cab		PMID:27759163|PMID:16341864																																									PMID:27759163|PMID:16341864	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017504	HB32 (Japanese rice fish)		HB32	Japanese rice fish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8090		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				HB32	http://purl.obolibrary.org/obo/vbo#most_common_name		PMID:16341864																																															PMID:16341864	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017505	HB32C (Japanese rice fish)		HB32C	Japanese rice fish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8090		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				HB32C	http://purl.obolibrary.org/obo/vbo#most_common_name	https://link.springer.com/article/10.1007/BF00571259|https://nagoya.repo.nii.ac.jp/record/11937/files/KJ00005673903.pdf																																															https://link.springer.com/article/10.1007/BF00571259|https://nagoya.repo.nii.ac.jp/record/11937/files/KJ00005673903.pdf		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648					Derived from HB32.	https://link.springer.com/article/10.1007/BF00571259|https://nagoya.repo.nii.ac.jp/record/11937/files/KJ00005673903.pdf																			
VBO:0017506	HdrR (Japanese rice fish)		HdrR	Japanese rice fish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8090		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				HdrR	http://purl.obolibrary.org/obo/vbo#most_common_name	https://nagoya.repo.nii.ac.jp/record/11937/files/KJ00005673903.pdf	PMID:24408034				Hd-rR	https://nagoya.repo.nii.ac.jp/record/11937/files/KJ00005673903.pdf	PMID:24408034																																								https://nagoya.repo.nii.ac.jp/record/11937/files/KJ00005673903.pdf	PMID:24408034	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017507	HNI (Japanese rice fish)		HNI	Japanese rice fish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8090		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				HNI	http://purl.obolibrary.org/obo/vbo#most_common_name	https://nagoya.repo.nii.ac.jp/record/11937/files/KJ00005673903.pdf|https://www.ebi.ac.uk/ena/browser/view/BAAE00000000	PMID:24408034|PMID:16341864				Houiken Niigata-I		https://orcid.org/0000-0003-2826-6444																																								https://nagoya.repo.nii.ac.jp/record/11937/files/KJ00005673903.pdf|https://www.ebi.ac.uk/ena/browser/view/BAAE00000000	PMID:24408034|PMID:16341864	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017508	HO4C (Japanese rice fish)		HO4C	Japanese rice fish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8090		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				HO4C	http://purl.obolibrary.org/obo/vbo#most_common_name	https://link.springer.com/article/10.1007/BF00571259|https://nagoya.repo.nii.ac.jp/record/11937/files/KJ00005673903.pdf																																															https://link.springer.com/article/10.1007/BF00571259|https://nagoya.repo.nii.ac.jp/record/11937/files/KJ00005673903.pdf		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017509	Kaga (Japanese rice fish)		Kaga	Japanese rice fish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8090		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Kaga	http://purl.obolibrary.org/obo/vbo#most_common_name		PMID:24408034																																															PMID:24408034	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017510	Orange-red (Japanese rice fish)		Orange-red	Japanese rice fish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8090		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				Orange-red	http://purl.obolibrary.org/obo/vbo#most_common_name		PMID:11226275|PMID:26054930				OR		PMID:11226275|PMID:26054930	Himedaka		PMID:11226275|PMID:26054930	Orange commercial variety		PMID:26054930																																			PMID:11226275|PMID:26054930	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									
VBO:0017511	SOK (Japanese rice fish)		SOK	Japanese rice fish		240806-181	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/181	NCBITaxon:8090		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648	VBO:0400000		https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648				SOK	http://purl.obolibrary.org/obo/vbo#most_common_name	https://nagoya.repo.nii.ac.jp/record/11937/files/KJ00005673903.pdf	PMID:24945156				Sokcho		PMID:24945156																																								https://nagoya.repo.nii.ac.jp/record/11937/files/KJ00005673903.pdf	PMID:24945156	https://orcid.org/0000-0003-2826-6444|https://orcid.org/0000-0002-5002-8648																									